prev_feedback_type,prev_feedback_time,prev_reward_time,prev_response,contrast_left,contrast_right,response
1.0,1.2344267418492336,-4.215902974426626,1.0,1.0,1.0,1.0
1.0,1.2315494317797402,-3.974937220956008,1.0,0.5,1.0,1.0
-1.0,1.2250724183305692,-1.7482232137730307,1.0,0.5,0.5,1.0
1.0,1.2561796773636615,-2.818641934811353,1.0,1.0,0.5,1.0
1.0,1.370454726069056,-3.91976376174091,1.0,0.5,0.25,-1.0
-1.0,1.2119167711911132,-2.7158246113394853,-1.0,0.0,0.25,-1.0
1.0,1.4096499141171535,-2.2643676930986203,-1.0,0.25,0.5,-1.0
1.0,1.0418919491459064,-3.015633078959695,-1.0,0.25,1.0,1.0
-1.0,1.1710959762831408,-4.723673220796741,1.0,0.25,1.0,-1.0
1.0,1.4086280288566968,-2.348812478950549,-1.0,1.0,0.0,1.0
1.0,1.3960372530256109,-2.0128246443294984,1.0,0.0,0.25,-1.0
1.0,1.1377493357174444,-1.5694883865339762,-1.0,1.0,0.0,1.0
1.0,1.2034132836213303,-1.4892628665259053,1.0,0.0,0.0,1.0
-1.0,1.0438986284191287,-1.5433809809774175,1.0,0.0,0.0,-1.0
-1.0,2.3812933889867054,-3.411871860930887,-1.0,0.0,0.0,0.0
1.0,2.700132749793056,-2.5343004861999816,0.0,0.25,0.0,1.0
1.0,1.3593162294382637,-3.403518457164182,1.0,0.5,1.0,-1.0
1.0,1.3725926809188422,-2.819224246051135,-1.0,0.25,1.0,1.0
-1.0,1.2999783219963774,-1.4594840929112252,1.0,0.25,1.0,-1.0
1.0,1.0986115292421346,-2.709817055386111,-1.0,0.5,0.0,1.0
1.0,1.156631518709446,-1.9167846505756643,1.0,0.0,1.0,-1.0
1.0,1.2577924798424647,-2.033734718534788,-1.0,0.5,0.5,1.0
1.0,1.275329876332762,-2.4996691191349782,1.0,1.0,0.5,1.0
1.0,1.5539821053671403,-1.6866177664824136,1.0,0.25,0.0,1.0
1.0,1.2607208980994073,-1.5962644386756892,1.0,0.0,1.0,-1.0
1.0,1.35347702292529,-3.272014533202082,-1.0,1.0,0.25,1.0
1.0,1.4449032250622622,-2.898567394031261,1.0,0.0,0.5,-1.0
1.0,1.2977944788563036,-2.442125360470527,-1.0,0.5,0.0,1.0
1.0,1.2251203448699926,-2.96815675367975,1.0,0.25,1.0,-1.0
1.0,1.3436286304220175,-2.2978993402155083,-1.0,1.0,0.0,1.0
1.0,1.2827027225725942,-2.50807323742697,1.0,0.5,0.0,1.0
1.0,1.3543523460436973,-1.602801780119762,1.0,0.5,0.0,1.0
1.0,1.3558068702920991,-1.9872941163123414,1.0,0.5,0.25,1.0
1.0,1.3630721143651954,-1.4122097200042845,1.0,0.0,0.5,-1.0
1.0,1.2127670084889814,-3.2932666284434617,-1.0,0.0,0.5,-1.0
1.0,1.510159677427282,-1.5832694500084017,-1.0,1.0,0.5,1.0
1.0,1.4506514059355595,-2.2747822793496653,1.0,1.0,0.25,1.0
1.0,1.0706551588295952,-3.0057014880210318,1.0,0.5,0.5,-1.0
1.0,1.3346013689961183,-5.0568838324581975,-1.0,0.5,1.0,1.0
-1.0,1.2442894530595368,-3.456414593515774,1.0,0.0,0.0,0.0
1.0,2.473917977326437,-2.6921554264697534,0.0,0.25,0.0,1.0
1.0,1.1635601156124267,-1.4538885922975169,1.0,0.0,1.0,-1.0
1.0,1.352569759840435,-3.0902117801458644,-1.0,1.0,0.0,1.0
1.0,1.2391752807425291,-1.2201463354674615,1.0,1.0,0.5,1.0
1.0,1.337937659100362,-3.237438710620836,1.0,0.25,0.0,1.0
1.0,1.6590144676254113,-1.6843537259842378,1.0,0.0,1.0,-1.0
1.0,1.2012861635121226,-1.2559275332062043,-1.0,1.0,0.25,1.0
1.0,1.303766959542827,-1.8901559119638023,1.0,0.5,0.0,1.0
1.0,1.3879199544201128,-1.27021483617591,1.0,0.0,0.25,-1.0
1.0,1.19053885079893,-1.482977890109396,-1.0,0.0,0.5,-1.0
1.0,1.286334026979148,-1.489267998326568,-1.0,0.0,0.25,-1.0
1.0,1.2560317414436213,-5.751640880841251,-1.0,1.0,1.0,1.0
1.0,1.39536814451003,-6.229449117260174,1.0,1.0,0.25,1.0
1.0,1.4894167933325662,-1.6373120964858572,1.0,0.5,0.0,1.0
1.0,1.274049586372712,-1.5693099801276276,1.0,0.5,0.5,1.0
1.0,1.1065907577487906,-3.968886497300673,1.0,0.0,0.25,-1.0
1.0,1.3269468797675472,-1.8142042966424015,-1.0,0.5,0.25,1.0
1.0,1.515077909077263,-2.2774906754889344,1.0,1.0,0.0,1.0
1.0,1.1061727823782803,-1.8375058013857597,1.0,0.25,0.5,-1.0
1.0,1.3761654434374577,-1.4659936620839744,-1.0,0.25,1.0,-1.0
1.0,1.1750633500532786,-2.1689257078853643,-1.0,0.5,0.0,1.0
1.0,1.2551674746061963,-2.486522590720824,1.0,1.0,0.0,1.0
1.0,1.4355581426491426,-2.1573739695850236,1.0,0.5,0.25,1.0
